"Topic","Context","Note","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức 1","* Phương thức 1 (Mã PT - 100): Xét tuyển trên kết quả Kỳ thi tốt nghiệp Trung học phổ thông (THPT) 2024

Thí sinh xét tuyển vào UMT theo phương thức Xét tuyển kết quả thi tốt nghiệp THPT sẽ đăng ký nguyện vọng xét tuyển trên hệ thống của Bộ GD&ĐT. 
UMT sẽ triển khai phương thức xét tuyển này với những thông tin cụ thể như sau: 

1. Đối tượng tuyển sinh: 

- Thí sinh đã tốt nghiệp THPT.  

 - Đã tốt nghiệp trung cấp (người tốt nghiệp trung cấp nhưng chưa có bằng tốt nghiệp THPT phải học và được công nhận hoàn thành các môn 
văn hóa trong chương trình giáo dục THPT theo quy định của Bộ GD&ĐT). 

- Tham dự kỳ thi tốt nghiệp THPT năm 2024 (đủ điều kiện được cấp bằng tốt nghiệp THPT). 

- Có đủ sức khỏe để học tập theo quy định hiện hành. 

2. Phạm vi tuyển sinh 

Trường tuyển sinh trong phạm vi cả nước, không giới hạn độ tuổi và năm tốt nghiệp của thí sinh tham gia xét tuyển vào Trường. 

3. Cách thức đăng ký xét tuyển:

- Thí sinh đăng ký trên cổng thông tin của Bộ GD&ĐT theo quy định. 

- Thí sinh điền thông tin Trường Đại học Quản lý và Công nghệ TP.HCM vào hồ sơ xét tuyển: 

*LƯU Ý: 

Tổng điểm 3 môn xét tuyển theo kết quả của kỳ thi tốt nghiệp THPT năm 2024 đạt mức ngưỡng điểm đảm bảo chất lượng đầu vào đại học do Trường quy định trở lên. 

Trường không sử dụng kết quả miễn thi môn Ngoại ngữ của thí sinh trong kỳ thi tốt nghiệp THPT để tính điểm xét tuyển vào Trường. 

4. Thời gian nộp hồ sơ xét tuyển:

Bộ GD&ĐT sẽ có thông báo liên quan đến các mốc thời gian xét tuyển đại học, cao đẳng vào Tháng 3/2024.

Theo đó, UMT sẽ cập nhật thông tin mới nhất về các mốc thời gian đăng ký, điều chỉnh nguyện vọng trên cổng xét tuyển của Bộ GD&ĐT hoặc Cổng dịch vụ công quốc gia 
theo link: http://thisinh.thitotnghiepthpt.edu.vn. Tại Cổng xét tuyển này, để đăng ký các ngành học, thí sinh hãy chọn UMT là nguyện vọng 1 (mã trường: UMT). 

Song song đó, UMT luôn mở cổng xét tuyển và hỗ trợ thí sinh xét tuyển với link: https://xettuyen.umt.edu.vn/dangkyxettuyen ","","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức 2","* Phương thức 2 (Mã PT - 200): Xét kết quả học tập THPT (học bạ)  

Thí sinh xét tuyển vào UMT theo phương thức Xét tuyển kết quả học tập THPT (học bạ) có 4 cách thức đăng ký xét tuyển, linh động theo từng thời điểm. Cụ thể như sau: 

1. Đối tượng tuyển sinh: 

- Thí sinh đã tốt nghiệp THPT.  

 - Đã tốt nghiệp trung cấp (người tốt nghiệp trung cấp nhưng chưa có bằng tốt nghiệp THPT phải học và được công nhận hoàn thành các môn văn hóa trong chương trình giáo dục
 THPT theo quy định của Bộ GD&ĐT). 

- Tham dự kỳ thi tốt nghiệp THPT năm 2024 (đủ điều kiện được cấp bằng tốt nghiệp THPT). 

- Có đủ sức khỏe để học tập theo quy định hiện hành.

2. Phạm vi tuyển sinh: 

Trường tuyển sinh trong phạm vi cả nước, không giới hạn độ tuổi và năm tốt nghiệp của thí sinh tham gia xét tuyển vào Trường.

3. Cách thức đăng ký xét tuyển:

3.1 Xét tuyển dựa trên kết quả học tập 5 học kỳ  

- Điểm trung bình cộng các môn học trong cả năm lớp 10, lớp 11 và học kỳ 1 lớp 12 đạt từ 6,0 điểm trở lên cho tất cả các ngành (làm tròn một số thập phân).  

- ĐXT = (Điểm TB cả năm lớp 10 + Điểm TB cả năm lớp 11 + Điểm TB HK 1 lớp 12)/3 + Điểm ưu tiên (nếu có)  

3.2 Xét tuyển dựa trên kết quả học tập 3 năm THPT  

- Điểm trung bình cộng các môn học trong năm lớp 10, lớp 11 và lớp 12 từ 6,0 điểm trở lên cho tất cả các ngành.  

- ĐXT = (Điểm TB cả năm lớp 10 + Điểm TB cả năm lớp 11 + Điểm TB cả năm lớp 12)/3 + Điểm ưu tiên (nếu có)  

3.3 Xét tuyển dựa trên kết quả học tập lớp 12 theo tổ hợp 3 môn xét tuyển  

- Điểm trung bình cộng cả năm lớp 12 theo tổ hợp 3 môn xét tuyển đạt từ 6,0 điểm trở lên.  

- ĐXT = (Điểm TB lớp 12 môn 1 + Điểm TB lớp 12 môn 2 + Điểm TB lớp 12 môn 3)/3 + Điểm ưu tiên (nếu có)  

3.4 Xét tuyển dựa trên Kết quả học tập 3 học kỳ   

- Điểm trung bình cộng các môn học trong cả năm lớp 11 và học kỳ 1 lớp 12 đạt từ 6,0 điểm trở lên cho tất cả các ngành  

- ĐXT = (Điểm TB cả năm lớp 11 + Điểm TB HK 1 lớp 12)/2 + Điểm ưu tiên (nếu có) 

4. Thời gian nộp hồ sơ xét tuyển:

Trường Đại học UMT sẽ cập nhật thời gian xét tuyển sớm nhất trên các kênh truyền thông của Nhà trường. 

LƯU Ý:

- Các thông tin điều chỉnh và bổ sung thời gian nhận hồ sơ xét tuyển khác sẽ do Hội đồng tuyển sinh của Trường quyết định. 

- Thí sinh xét tuyển sẽ nhận kết quả xét tuyển và hướng dẫn làm hồ sơ nhập học vào các đợt theo thông báo của Trường UMT. 

5. Hồ sơ đăng ký xét tuyển

Thí sinh cần chuẩn bị các hồ sơ sau:

- Phiếu đăng ký xét tuyển vào Trường Đại học Quản lý và Công nghệ TP.HCM (điền thông tin tại đường dẫn http://xettuyen.umt.edu.vn). 

- Bản photo Bằng tốt nghiệp THPT hoặc Giấy chứng nhận tốt nghiệp THPT tạm thời.

- Bản photo Học bạ THPT.

- Bản photo Hồ sơ minh chứng đối tượng ưu tiên (nếu có).

LƯU Ý: Thí sinh nộp bản photo có công chứng hoặc đem theo bản chính để đối chiếu.

6. Địa điểm và cách nộp hồ sơ

Thí sinh đăng ký hồ sơ xét tuyển cho Trường theo cách thức như sau: 

- Cách 1: Đăng ký trực tuyến tại: http://xettuyen.umt.edu.vn

- Cách 2: Đăng ký trực tiếp tại:

Văn phòng Tư vấn Tuyển sinh, Trường Đại học Quản lý và Công nghệ TP.HCM (UMT) 

Địa chỉ: Đường 60CL, Khu đô thị Cát Lái, Phường Cát Lái, TP. Thủ Đức, TP.HCM

- Cách 3: Gửi bưu điện. Thí sinh chuyển phát nhanh qua bưu điện (trên bìa thư ghi rõ “Hồ sơ đăng ký xét tuyển đại học”) theo địa chỉ: 

Văn phòng Tư vấn Tuyển sinh, Trường Đại học Quản lý và Công nghệ TP.HCM (UMT) 

Đường 60CL, Khu đô thị Cát Lái, Phường Cát Lái, TP. Thủ Đức, TP.HCM

- Cách 4: Scan các file và gửi vào email: tuyensinh@umt.edu.vn","","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức 3","* Phương thức 3 (Mã PT - 303): Xét tuyển thẳng theo quy định của UMT  

UMT có xét tuyển các thí sinh thuộc đối tượng được xét tuyển thẳng theo Quy chế tuyển sinh của Bộ GD&ĐT. 

1. Đối tượng tuyển sinh: 

1. Anh hùng lao động, Anh hùng lực lượng vũ trang nhân dân, Chiến sĩ thi đua toàn quốc được tuyển thẳng vào các ngành, chương trình do cơ sở đào tạo quy định.

2. Thí sinh đạt thành tích cao trong các kỳ thi, cuộc thi, giải đấu cấp quốc gia hoặc quốc tế do Bộ GD&ĐT; Bộ Văn hóa, Thể thao và Du lịch tổ chức, cử tham gia hoặc công nhận, 
được xét tuyển thẳng trong năm tốt nghiệp THPT (hoặc tốt nghiệp trung cấp các trường năng khiếu nghệ thuật) vào các ngành phù hợp với môn thi, nội dung đề tài hoặc nghề dự thi, thi đấu, đoạt giải; 
cụ thể trong các trường hợp sau:

a) Thí sinh đoạt giải nhất, nhì, ba trong kỳ thi chọn học sinh giỏi quốc gia hoặc thi khoa học, kỹ thuật cấp quốc gia do Bộ GD&ĐT tổ chức; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển thẳng.

b) Thí sinh đoạt giải chính thức trong các cuộc thi nghệ thuật quốc tế về ca, múa, nhạc, mỹ thuật được Bộ Văn hóa, Thể thao và Du lịch công nhận; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển thẳng.

c) Thí sinh tham gia đội tuyển quốc gia thi đấu tại các giải quốc tế chính thức được Bộ Văn hóa, Thể thao và Du lịch xác nhận đã hoàn thành nhiệm vụ, bao gồm: Giải vô địch thế giới, Cúp thế giới, 
Thế vận hội Olympic, Đại hội Thể thao châu Á (ASIAD), Giải vô địch châu Á, Cúp châu Á, Giải vô địch Đông Nam Á, Đại hội Thể thao Đông Nam Á (SEA Games), Cúp Đông Nam Á; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển thẳng.

d) Thí sinh đoạt giải nhất, nhì, ba trong các kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế do Bộ Lao động, Thương binh và Xã hội cử đi; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển thẳng.

3. Thí sinh có bằng trung cấp ngành Sư phạm loại Giỏi trở lên, hoặc có bằng trung cấp ngành Sư phạm loại Khá và có ít nhất 2 năm làm việc đúng ngành được xét tuyển thẳng vào ngành Giáo dục mầm non trình độ cao đẳng.

4. Hiệu trưởng cơ sở đào tạo căn cứ kết quả học tập THPT của thí sinh và yêu cầu của ngành đào tạo để xem xét, quyết định nhận vào học những trường hợp quy định dưới đây (trường hợp cần thiết kèm theo điều kiện thí sinh phải 
học 1 năm bổ sung kiến thức trước khi vào học chính thức):

a) Thí sinh là người khuyết tật đặc biệt nặng có giấy xác nhận khuyết tật của cơ quan có thẩm quyền cấp theo quy định, có khả năng theo học một số ngành do cơ sở đào tạo quy định nhưng không có khả năng dự tuyển theo phương thức tuyển sinh bình thường.

b) Thí sinh là người dân tộc thiểu số rất ít người theo quy định hiện hành của Chính phủ và thí sinh 20 huyện nghèo biên giới, hải đảo thuộc khu vực Tây Nam Bộ.

c) Thí sinh có nơi thường trú từ 3 năm trở lên, học 3 năm và tốt nghiệp THPT tại các huyện nghèo (học sinh học phổ thông dân tộc nội trú tính theo nơi thường trú) theo quy định của Chính phủ, Thủ tướng Chính phủ.

d) Thí sinh là người nước ngoài có kết quả kiểm tra kiến thức và năng lực tiếng Việt đáp ứng quy định tại Điều 6 Thông tư số 30/2018/TT-BGDĐT ngày 24 tháng 12 năm 2018 quy định về quản lý người nước ngoài học tập tại Việt Nam của Bộ trưởng Bộ GD&ĐT.

5. Cơ sở đào tạo xem xét, quyết định mức điểm ưu tiên hoặc có hình thức ưu tiên xét tuyển khác đối với các trường hợp sau đây:

a) Thí sinh quy định tại khoản 2 Điều này nhưng không dùng quyền xét tuyển thẳng được ưu tiên xét tuyển vào các ngành theo nguyện vọng.

b) Thí sinh đoạt giải khuyến khích trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đoạt giải tư trong cuộc thi khoa học, kỹ thuật cấp quốc gia được ưu tiên xét tuyển theo ngành phù hợp với môn thi hoặc nội dung đề tài dự thi đã đoạt giải; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

c) Thí sinh đoạt huy chương vàng, bạc, đồng các giải thể dục thể thao cấp quốc gia tổ chức một lần trong năm và thí sinh được Tổng cục Thể dục thể thao có quyết định công nhận là kiện tướng quốc gia được ưu tiên xét tuyển vào các ngành thể dục thể thao phù hợp; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển.

d) Thí sinh đoạt giải chính thức trong các cuộc thi nghệ thuật chuyên nghiệp chính thức toàn quốc về ca, múa, nhạc, mỹ thuật ưu tiên xét tuyển vào các ngành nghệ thuật phù hợp; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

đ) Thí sinh đoạt giải nhất, nhì, ba tại các kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế được ưu tiên xét tuyển vào các ngành phù hợp với nghề đã đoạt giải; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

6. Các cơ sở đào tạo quy định cụ thể và công bố trong đề án tuyển sinh, kế hoạch tuyển sinh, chỉ tiêu, tiêu chí, phạm vi ngành, chương trình đào tạo để xét tuyển thẳng; mức điểm ưu tiên xét tuyển đối với từng trường hợp đối tượng, ngành đào tạo quy định tại Điều này.

2. Phạm vi tuyển sinh: 

Trường tuyển sinh trong phạm vi cả nước, không giới hạn độ tuổi và năm tốt nghiệp của thí sinh tham gia xét tuyển vào Trường.

Lưu ý: Thời gian nộp hồ sơ xét tuyển và hồ sơ đăng ký xét tuyển theo quy định của Bộ GD&ĐT từ tháng 3/2024. ","","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức 4","* Phương thức 4 (Mã PT - 402): Xét tuyển dựa trên kết quả kỳ thi Đánh giá năng lực của ĐHQG TP.HCM năm 2024

UMT sử dụng điểm thi Đánh giá năng lực của ĐHQG TP.HCM để xét tuyển bậc đại học chính quy. Thông tin chi tiết như sau: 

1. Đối tượng tuyển sinh: 

Thí sinh đã tốt nghiệp THPT theo quy định của Bộ GD&ĐT và có kết quả thi Đánh giá năng lực của ĐHQG TP.HCM năm 2024 từ 600 điểm trở lên (thang điểm 1.200).

2. Phạm vi tuyển sinh:  

Trường tuyển sinh trong phạm vi cả nước, không giới hạn độ tuổi và năm tốt nghiệp của thí sinh tham gia xét tuyển vào Trường.

3. Thời gian nộp hồ sơ xét tuyển:

Trường Đại học UMT sẽ cập nhật thời gian xét tuyển sớm nhất trên các kênh truyền thông của Nhà trường. 

LƯU Ý: 

Các thông tin điều chỉnh và bổ sung thời gian nhận hồ sơ xét tuyển khác sẽ do Hội đồng tuyển sinh của Trường quyết định. 

Thí sinh xét tuyển sẽ nhận kết quả xét tuyển và hướng dẫn làm hồ sơ nhập học vào các đợt theo thông báo của Trường UMT. 

4. Hồ sơ đăng ký xét tuyển

Thí sinh cần chuẩn bị các hồ sơ sau:

- Phiếu đăng ký xét tuyển vào Trường Đại học Quản lý và Công nghệ TP.HCM (điền thông tin tại đường dẫn http://xettuyen.umt.edu.vn). 

- Bản photo Bằng tốt nghiệp THPT hoặc Giấy chứng nhận tốt nghiệp THPT tạm thời.

- Bản photo Giấy chứng nhận kết quả kỳ thi Đánh giá năng lực của ĐHQG TP.HCM năm 2024

LƯU Ý: Thí sinh nộp bản photo có công chứng hoặc đem theo bản chính để đối chiếu.

5. Địa điểm và cách nộp hồ sơ

Thí sinh đăng ký hồ sơ xét tuyển cho Trường theo cách thức như sau: 

- Cách 1: Đăng ký trực tuyến tại: http://xettuyen.umt.edu.vn

- Cách 2: Đăng ký trực tiếp tại: văn phòng Tư vấn Tuyển sinh, Trường Đại học Quản lý và Công nghệ TP.HCM (Địa chỉ: Đường 60CL, Khu đô thị Cát Lái, P. Cát Lái, TP. Thủ Đức, TP.HCM).

- Cách 3: Gửi bưu điện: thí sinh chuyển phát nhanh qua bưu điện (trên bìa thư ghi rõ “Hồ sơ đăng ký xét tuyển đại học”) theo địa chỉ: 

Văn phòng Tư vấn Tuyển sinh, Trường Đại học Quản lý và Công nghệ TP.HCM (UMT) 

Địa chỉ: Đường 60CL, Khu đô thị Cát Lái, P. Cát Lái, TP. Thủ Đức, TP.HCM 

- Cách 4: Scan các file và gửi vào email: tuyensinh@umt.edu.vn","","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức 5","* Phương thức 5 (Mã PT - 301): Xét tuyển thẳng theo quy định của Bộ GD&ĐT 

UMT có xét tuyển các thí sinh thuộc đối tượng được xét tuyển thẳng theo Quy chế tuyển sinh của Bộ GD&ĐT. 

1. Đối tượng tuyển sinh: 

1. Anh hùng lao động, Anh hùng lực lượng vũ trang nhân dân, Chiến sĩ thi đua toàn quốc được tuyển thẳng vào các ngành, chương trình do cơ sở đào tạo quy định.

2. Thí sinh đạt thành tích cao trong các kỳ thi, cuộc thi, giải đấu cấp quốc gia hoặc quốc tế do Bộ GD&ĐT; Bộ Văn hóa, Thể thao và Du lịch tổ chức, cử tham gia hoặc công nhận, được xét tuyển thẳng trong năm tốt nghiệp THPT
 (hoặc tốt nghiệp trung cấp các trường năng khiếu nghệ thuật) vào các ngành phù hợp với môn thi, nội dung đề tài hoặc nghề dự thi, thi đấu, đoạt giải; cụ thể trong các trường hợp sau:

a) Thí sinh đoạt giải nhất, nhì, ba trong kỳ thi chọn học sinh giỏi quốc gia hoặc thi khoa học, kỹ thuật cấp quốc gia do Bộ GD&ĐT tổ chức; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển thẳng.

b) Thí sinh đoạt giải chính thức trong các cuộc thi nghệ thuật quốc tế về ca, múa, nhạc, mỹ thuật được Bộ Văn hóa, Thể thao và Du lịch công nhận; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển thẳng.

c) Thí sinh tham gia đội tuyển quốc gia thi đấu tại các giải quốc tế chính thức được Bộ Văn hóa, Thể thao và Du lịch xác nhận đã hoàn thành nhiệm vụ, bao gồm: Giải vô địch thế giới, Cúp thế giới, Thế vận hội Olympic, 
Đại hội Thể thao châu Á (ASIAD), Giải vô địch châu Á, Cúp châu Á, Giải vô địch Đông Nam Á, Đại hội Thể thao Đông Nam Á (SEA Games), Cúp Đông Nam Á; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển thẳng.

d) Thí sinh đoạt giải nhất, nhì, ba trong các kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế do Bộ Lao động, Thương binh và Xã hội cử đi; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển thẳng.

3. Thí sinh có bằng trung cấp ngành Sư phạm loại Giỏi trở lên, hoặc có bằng trung cấp ngành Sư phạm loại Khá và có ít nhất 2 năm làm việc đúng ngành được xét tuyển thẳng vào ngành Giáo dục mầm non trình độ cao đẳng.

4. Hiệu trưởng cơ sở đào tạo căn cứ kết quả học tập THPT của thí sinh và yêu cầu của ngành đào tạo để xem xét, quyết định nhận vào học những trường hợp quy định dưới đây (trường hợp cần thiết kèm theo điều kiện thí sinh 
phải học 1 năm bổ sung kiến thức trước khi vào học chính thức):

a) Thí sinh là người khuyết tật đặc biệt nặng có giấy xác nhận khuyết tật của cơ quan có thẩm quyền cấp theo quy định, có khả năng theo học một số ngành do cơ sở đào tạo quy định nhưng không có khả năng dự tuyển theo phương thức tuyển sinh bình thường.

b) Thí sinh là người dân tộc thiểu số rất ít người theo quy định hiện hành của Chính phủ và thí sinh 20 huyện nghèo biên giới, hải đảo thuộc khu vực Tây Nam Bộ.

c) Thí sinh có nơi thường trú từ 3 năm trở lên, học 3 năm và tốt nghiệp THPT tại các huyện nghèo (học sinh học phổ thông dân tộc nội trú tính theo nơi thường trú) theo quy định của Chính phủ, Thủ tướng Chính phủ.

d) Thí sinh là người nước ngoài có kết quả kiểm tra kiến thức và năng lực tiếng Việt đáp ứng quy định tại Điều 6 Thông tư số 30/2018/TT-BGDĐT ngày 24 tháng 12 năm 2018 quy định về quản lý người nước ngoài học tập tại Việt Nam của Bộ trưởng Bộ GD&ĐT.

5. Cơ sở đào tạo xem xét, quyết định mức điểm ưu tiên hoặc có hình thức ưu tiên xét tuyển khác đối với các trường hợp sau đây:

a) Thí sinh quy định tại khoản 2 Điều này nhưng không dùng quyền xét tuyển thẳng được ưu tiên xét tuyển vào các ngành theo nguyện vọng.

b) Thí sinh đoạt giải khuyến khích trong kỳ thi chọn học sinh giỏi quốc gia; thí sinh đoạt giải tư trong cuộc thi khoa học, kỹ thuật cấp quốc gia được ưu tiên xét tuyển theo ngành phù hợp với môn thi hoặc nội dung đề tài dự thi đã đoạt giải; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

c) Thí sinh đoạt huy chương vàng, bạc, đồng các giải thể dục thể thao cấp quốc gia tổ chức một lần trong năm và thí sinh được Tổng cục Thể dục thể thao có quyết định công nhận là kiện tướng quốc gia được ưu tiên xét tuyển vào các ngành thể dục thể thao phù hợp; thời gian đoạt giải không quá 4 năm tính tới thời điểm xét tuyển.

d) Thí sinh đoạt giải chính thức trong các cuộc thi nghệ thuật chuyên nghiệp chính thức toàn quốc về ca, múa, nhạc, mỹ thuật ưu tiên xét tuyển vào các ngành nghệ thuật phù hợp; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

đ) Thí sinh đoạt giải nhất, nhì, ba tại các kỳ thi tay nghề khu vực ASEAN và thi tay nghề quốc tế được ưu tiên xét tuyển vào các ngành phù hợp với nghề đã đoạt giải; thời gian đoạt giải không quá 3 năm tính tới thời điểm xét tuyển.

6. Các cơ sở đào tạo quy định cụ thể và công bố trong đề án tuyển sinh, kế hoạch tuyển sinh, chỉ tiêu, tiêu chí, phạm vi ngành, chương trình đào tạo để xét tuyển thẳng; mức điểm ưu tiên xét tuyển đối với từng trường hợp đối tượng, ngành đào tạo quy định tại Điều này.

2. Phạm vi tuyển sinh: 

Trường tuyển sinh trong phạm vi cả nước, không giới hạn độ tuổi và năm tốt nghiệp của thí sinh tham gia xét tuyển vào Trường.

Lưu ý: Thời gian nộp hồ sơ xét tuyển và hồ sơ đăng ký xét tuyển theo quy định của Bộ GD&ĐT từ tháng 3/2024. ","","","","","","","","","","","","","","","","","","","","","","","",""
"Công nghệ thông tin","Trưởng khoa công nghệ: PGS.TS. Trần Đan Thư
- Hơn 30 năm kinh nghiệm trong lĩnh vực Công Nghệ Thông Tin 
- Nguyên Trưởng Khoa CNTT, Trường Đại học Khoa học Tự nhiên
(ĐHQG TP.HCM) 
- Người Thầy đã đào tạo nhiều lớp giảng viên đại học và chuyên gia
công nghệ
- KẾT NỐI TRỰC TIẾP VỚI DIỄN GIẢ TỪ CÁC TẬP ĐOÀN TOÀN CẦU: Google, Shopee, Zalo...
- ĐỘI NGŨ CHUYÊN GIA QUỐC TẾ GIẢNG VIÊN CÓ TÂM VÀ TẦM
Nhà trường có đội ngũ chuyên gia giáo dục, diễn giả đầu ngành, giảng viên trình độ Giáo sư, Phó Giáo sư, Tiến sĩ, Thạc sĩ, phần lớn được đào tạo xuất sắc từ nước ngoài, có tâm và tầm, giàu kinh nghiệm chuyên môn và thực tiễn.
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Truyền thông đa phương tiện","NGÀNH TRUYỀN THÔNG
ĐA PHƯƠNG TIỆN
TRẢI NGHIỆM THỰC TẾ
CHÚ TRỌNG THỰC HÀNH

* Studio và trang thiết bị thực hành hiện đại
* Trải nghiệm thực tế, trực tiếp tham gia vào quá trình
sản xuất sản phẩm truyền thông
* Workshop, Talkshow, hội thảo, sự kiện
quy mô và chuyên nghiệp

KẾT NỐI TRỰC TIẾP VỚI DIỄN GIẢ ​ TỪ CÁC TẬP ĐOÀN HÀNG ĐẦU
Ngoài lớp học trên giảng đường, những giờ thực hành, thực tập doanh nghiệp, tham gia Workshop, Talkshow với các chuyên gia đầu ngành (từ Shopee, Minh Long…) sẽ gắn bó xuyên suốt với sinh viên trong quá trình đại học.

THAM GIA VÀO QUÁ TRÌNH SẢN XUẤT ​SẢN PHẨM TRUYỀN THÔNG
Sinh viên trực tiếp tham gia vào quá trình sản xuất sản phẩm truyền thông dưới sự hướng dẫn của giảng viên, chuyên gia nhiều kinh nghiệm, giúp các bạn nâng cao khả năng thực nghiệm.

- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Thiết kế đồ họa","NGÀNH THIẾT KẾ ĐỒ HỌA
TƯ DUY THẨM MỸ ỨNG DỤNG SÁNG TẠO KHÔNG GIỚI HẠN

- Kết nối trực tiếp với các chuyê gia hàng đầu trong lĩnh vực
- Ứng dụng công nghệ vào quá trình giảng dạy
- Tham gia váo quá trình sản xuất đồ họa thực tế
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Marketing","NGÀNH MARKETING
ĐÀO TẠO THỰC TIỄN ỨNG DỤNG CÔNG NGHỆ SỐ
- Chương trình đào tạo chuẩn kiểm định quốc tế
- Kết nối trực tiếp với các chuyê gia hàng đầu trong lĩnh vực
- Ứng dụng công nghệ vào quá trình giảng dạy
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Quản trị kinh doanh","NGÀNH QUẢN TRỊ KINH DOANH 

PHÓ TRƯỞNG BỘ MÔN QUẢN TRỊ KINH DOANH TS. Tiết Tòng Tuyền
Tiền sĩ kinh tế, Đại học Strasbourg (Pháp)
Thành viên trung tâm kinh tế thực nghiệm và phát triển bền vững (LEES), Viện kinh tế lý thuyết và ứng dụng (BETA) 

Chương trình đào tạo chuẩn kiểm định quốc tế
- Kết nối trực tiếp với các chuyê gia hàng đầu trong lĩnh vực
- Ứng dụng công nghệ vào quá trình giảng dạy
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp
","","","","","","","","","","","","","","","","","","","","","","","",""
"Logistics và Quản lý chuỗi cung ứng","NGÀNH LOGISTICS VÀ QUẢN LÝ CHUỖI CUNG ỨNG

LIÊN KẾT, HỢP TÁC VỚI CẢNG CÁT LÁI TRONG QUÁ TRÌNH ĐÀO TẠO, THỰC HÀNH, TRẢI NGHIỆM

- Trường nằm cạnh Cảng Cát Lái - Cảng container quốc tế lớn và hiện đại nhất Việt Nam
- Thực hành mô phỏng nghiệp vụ Logistics và Quản Lý chuỗi cung ứng ngay tại Cảng Cát Lái
- Chương trình đào tạo có sự kết hợp liên ngành giữa quản trị kinh doanh, thương mại và kỹ thuật
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Kinh doanh quốc tế","NGÀNH KINH DOANH QUỐC TẾ

CHƯƠNG TRÌNH ĐÀO TẠO THAM CHIẾU CHUẨN KIỂM ĐỊNH QUỐC TẾ, GIẢNG VIÊN CHẤT LƯỢNG

- Học kỳ doanh nghiệp 3 tháng tại các tập đoàn đa quốc gia
- Kiến tập, thực hành thương mại quốc tế ngay tại Cảng Cát Lái nằm bên cạnh trường
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
"Quản lý thể dục thể thao","NGÀNH QUẢN LÝ THỂ DỤC THỂ THAO

CHƯƠNG TRÌNH GIẢNG DẠY VÀ CỐ VẤN BỞI GIÁO SƯ CỦA CÁC TRƯỜNG ĐẠI HỌC NỔI TIẾNG THẾ GIỚI

- Trải nghiệm quốc tế và nâng cao trình độ tiếng Anh với giảng viên nước ngoài.
- Học kỳ doanh nghiệp 3 tháng tại các tập đoàn, công ty uy tín lĩnh vực TDTT trong và ngoài nước.
- Học bổng giá trị hỗ trợ tài chính thiết thực
- Phòng học hiện đại cơ sở vật chất đẳng cấp","","","","","","","","","","","","","","","","","","","","","","","",""
